time;real_x;predict_x;update_x;real_y;predict_y;update_y;real_phi;predict_phi;update_phi
115,7778;0,03147653;0,1127794;0,05250955;-0,5517627;-0,4877242;-0,1348698;97,28372;90,76817;101,5661
115,9921;0,03484944;0,1128738;0,08608589;-0,5781519;-0,4947633;-0,2073149;97,28372;90,76817;100,7649
116,2109;0,03512621;0,1128812;0,06463;-0,5803173;-0,4953206;-0,554278;97,28372;90,76817;97,69285
116,4293;0,03514759;0,1128818;0,06282552;-0,5804846;-0,495364;-0,5633518;97,28372;90,76817;97,453
116,6457;0,0193904;0,1074532;0,05133006;-0,3812127;-0,09048487;0,1109381;90,54916;77,13226;85,46856
116,873;0,04920347;0,1435976;0,06064556;-0,01172152;0,06773915;0,3290409;81,11216;77,13226;84,51471
117,0991;0,05651882;0,1461192;0,07072853;0,03505826;0,07877727;0,03431717;81,11216;77,13226;81,35784
117,3203;0,05702994;0,146304;0,07473613;0,03832674;0,07958653;0,02387014;81,11216;77,13226;81,05141
117,5326;0,05706848;0,146319;0,07527304;0,03857321;0,0796522;0,02315844;81,11216;77,13226;80,99964
117,7542;0,05707174;0,1463202;0,07534631;0,03859401;0,07965731;0,0231151;81,11216;77,13226;80,99076
117,9775;0,05707198;0,1463203;0,07535696;0,03859556;0,07965768;0,02311288;81,11216;77,13226;80,98924
118,1944;0,057072;0,1463203;0,07535782;0,03859568;0,07965771;0,02311275;81,11216;77,13226;80,98898
118,4134;0,057072;0,1463203;0,07535814;0,03859568;0,07965771;0,02311325;81,11216;77,13226;80,98893
118,6158;0,057072;0,1463203;0,07535808;0,03859568;0,07965771;0,02311296;81,11216;77,13226;80,98892
118,8215;0,057072;0,1463203;0,07535762;0,03859568;0,07965771;0,02311274;81,11216;77,13226;80,98892
119,0422;0,057072;0,1463203;0,07535807;0,03859568;0,07965771;0,0231132;81,11216;77,13226;80,98892
119,2586;0,057072;0,1463203;0,07535773;0,03859568;0,07965771;0,02311286;81,11216;77,13226;80,98892
119,4684;0,057072;0,1463203;0,07535821;0,03859568;0,07965771;0,02311329;81,11216;77,13226;80,98892
119,6958;0,057072;0,1463203;0,07535791;0,03859568;0,07965771;0,02311293;81,11216;77,13226;80,98892
119,9052;0,057072;0,1463203;0,07535753;0,03859568;0,07965771;0,02311265;81,11216;77,13226;80,98892
120,1081;0,057072;0,1463203;0,07535806;0,03859568;0,07965771;0,02311305;81,11216;77,13226;80,98892
