time;real_x;real_y;real_phi;predict_x;predict_y;predict_phi;update_x;update_y;update_phi
3,611085;-24,96774;15,91267;91,40038; -25;15,9116;90,00001; -24,99186;15,91816;91,15455
3,640776;-24,96644;15,89918;91,53526; -25;15,89676;90,00001; -24,99755;15,90711;91,14613
3,673565;-24,96564;15,88342;91,34681; -25;15,88036;90,00001; -24,98556;15,8796;91,08955
3,711642;-24,96611;15,86417;91,41776; -25;15,86132;90,00001; -24,98187;15,85944;91,08751
3,744497;-24,9646;15,84756;91,30135; -25;15,84489;90,00001; -24,98514;15,85032;91,0201
3,7712;-24,9633;15,83508;91,2069; -25;15,83154;90,00001; -24,98757;15,84169;90,84602
3,80622;-24,96082;15,81659;91,06503; -25;15,81403;90,00001; -24,97792;15,81245;90,7664
3,832941;-24,9609;15,80215;91,00024; -25;15,80067;90,00001; -24,9767;15,80329;90,70709
3,860006;-24,96105;15,78851;91,16398; -25;15,78714;90,00001; -24,9842;15,78547;90,76887
3,891865;-24,95977;15,77281;91,1593; -25;15,77121;90,00001; -24,98105;15,76879;90,80378
3,917811;-24,95735;15,76015;91,17204; -25;15,75824;90,00001; -24,97958;15,75781;90,80083
3,950629;-24,95745;15,74388;91,15195; -25;15,74183;90,00001; -24,98716;15,73936;90,82182
3,981463;-24,95837;15,72921;91,26793; -25;15,72641;90,00001; -24,99139;15,72646;90,83662
4,014537;-24,95684;15,71215;91,32886; -25;15,70987;90,00001; -24,98755;15,71473;90,82766
4,041286;-24,95694;15,69656;91,31894; -25;15,6965;90,00001; -24,98003;15,69682;90,93629
4,075258;-24,95769;15,67795;91,31834; -25;15,67951;90,00001; -24,97842;15,68396;90,98011
4,102404;-24,95769;15,66523;91,23815; -25;15,66594;90,00001; -24,98;15,6852;91,0238
4,132386;-24,9583;15,64934;91,20777; -25;15,65095;90,00001; -24,97423;15,6643;90,98573
4,165437;-24,95789;15,63229;90,98286; -25;15,63442;90,00001; -24,97445;15,64038;90,75791
